Date,Open,High,Low,Close,Volume
2025/1/2,267,303,243,288,47973
2025/1/3,281,317,270,291,51992
2025/1/6,278,346,276,327,48047
2025/1/7,336,388,317,369,44335
2025/1/8,365,374,303,311,44859
2025/1/9,316,366,300,312,45550
2025/1/10,321,336,276,281,46926
2025/1/13,278,353,273,346,52635
2025/1/14,347,359,304,352,45709
2025/1/15,356,359,289,296,49110
2025/1/16,297,321,260,274,51958
2025/1/17,282,322,265,321,50942
2025/1/20,303,374,303,368,49460
2025/1/21,356,397,315,316,45668
2025/1/22,329,338,278,295,46959
2025/1/23,278,304,264,284,50832
2025/1/24,278,312,266,283,55603
2025/1/27,273,378,273,370,46581
2025/1/28,357,383,320,355,43640
2025/1/29,345,370,297,311,46538
2025/1/30,299,332,289,320,45746
2025/1/31,326,327,282,307,48631
2025/2/3,287,366,287,355,54594
2025/2/4,363,375,318,341,45583
2025/2/5,355,360,264,280,48401
2025/2/6,265,314,260,309,55206
2025/2/7,300,343,288,306,45803
2025/2/10,307,342,289,324,50460
2025/2/11,311,352,304,346,50904
2025/2/12,344,347,272,292,46945
2025/2/13,286,304,265,287,51525
2025/2/14,275,309,265,300,51906
2025/2/17,294,349,278,339,48158
2025/2/18,323,343,296,323,49631
2025/2/19,332,343,249,256,48145
2025/2/20,261,282,235,272,54039
2025/2/21,276,283,236,252,53244
2025/2/24,243,312,237,291,55277
2025/2/25,304,329,283,303,52084
2025/2/26,308,322,258,273,54117
2025/2/27,265,279,230,248,52518
2025/2/28,241,265,225,252,56267
2025/3/3,259,291,245,277,51663
2025/3/4,280,286,238,260,53447
2025/3/5,261,267,195,218,54069
2025/3/6,204,219,191,210,56952
2025/3/7,199,217,189,214,56185
2025/3/10,196,240,193,234,54749
2025/3/11,220,240,205,212,54658
2025/3/12,220,235,177,192,56269
2025/3/13,186,199,173,191,56984
2025/3/14,190,202,173,188,56126
2025/3/17,193,221,176,211,55043
2025/3/18,204,223,187,198,56816
2025/3/19,200,209,163,177,56850
2025/3/20,176,184,149,157,56631
2025/3/21,159,174,146,167,55819
2025/3/24,165,169,131,143,56186
2025/3/25,151,151,127,133,56245
2025/3/26,146,156,128,150,54565
2025/3/27,152,154,131,147,56242
2025/3/28,153,159,134,150,56841
2025/3/31,149,157,129,146,54908
2025/4/1,146,151,126,145,56212
2025/4/2,127,160,127,156,55526
2025/4/3,142,165,139,159,55477
2025/4/4,161,170,136,155,56992
2025/4/7,135,173,135,152,55257
2025/4/8,151,170,143,163,56731
2025/4/9,146,165,127,143,56169
2025/4/10,139,148,125,142,56243
2025/4/11,136,159,128,157,54663
2025/4/14,138,159,125,139,55714
2025/4/15,141,150,127,143,56314
2025/4/16,145,161,130,142,54968
2025/4/17,144,168,139,160,55897
2025/4/22,164,189,159,182,55528
2025/4/23,188,188,157,173,56287
2025/4/24,177,177,148,154,55458
2025/4/25,166,173,140,151,55486
2025/4/28,158,182,140,173,56222
2025/4/29,174,192,163,177,57055
2025/4/30,187,200,169,195,56907
2025/5/1,193,200,167,188,56511
2025/5/2,176,206,166,201,56109
2025/5/6,227,227,188,200,55601
2025/5/7,209,211,165,184,56089
2025/5/8,178,188,158,179,55379
2025/5/9,164,180,153,170,55457
2025/5/12,173,180,152,168,56891
2025/5/13,176,180,143,163,55201
2025/5/14,161,165,130,141,56158
2025/5/15,139,153,124,137,55482
2025/5/16,142,146,120,136,55249
2025/5/19,137,149,117,131,56291
2025/5/20,143,150,126,145,55313
2025/5/21,148,149,120,130,55910
2025/5/22,130,140,116,128,55500
2025/5/23,120,135,113,125,56530
2025/5/27,137,139,114,136,55715
2025/5/28,120,137,107,121,55743
2025/5/29,114,127,104,122,55587
2025/5/30,115,125,100,112,55899
2025/6/2,100,119,97,111,54950
2025/6/3,99,118,97,109,56748
2025/6/4,109,120,97,115,55102
2025/6/5,115,119,99,108,55402
2025/6/6,102,120,99,115,55324
2025/6/9,103,121,99,114,55386
2025/6/10,101,121,99,116,55621
2025/6/11,105,119,97,108,55297
2025/6/12,103,117,96,109,55672
2025/6/13,98,117,96,106,55781
2025/6/16,109,117,96,115,55969
2025/6/17,103,117,95,109,55797
2025/6/18,101,115,94,105,54879
2025/6/19,107,113,94,109,55745
2025/6/20,108,113,94,97,56532
2025/6/23,108,113,93,108,56477
2025/6/24,111,113,93,110,56103
2025/6/25,96,114,93,104,55857
2025/6/26,113,114,94,111,54575
2025/6/27,106,113,93,111,55719
2025/6/30,103,113,93,110,55388
2025/7/1,94,114,93,107,55439
